Artist,Title,Mix,BPM,Genre,Label,Year,Download
10cc,Things We Do For Love,Ñ,104,Top 40,Polygram,2004,Amazon
112,It's Over Now,Ñ,98,Top 40,Bad Boy/Arista,2007,Amazon
2AM Club,Not Your Boyfriend,Radio Edit,125,Top 40,RCA,2013,Amazon
2AM Club,Worry About You,Ñ,85,Top 40,RCA,2010,Amazon
2Cellos,Welcome To The Jungle,Ñ,133,Top 40,Sony Masterworks,2012,Amazon
2CELLOS,Wake Me Up,Ñ,72,Top 40,Portrait/Sony Masterworks,2015,Amazon
2Pac ft. Dr. Dre,California Love,Ñ,92,Top 40,Death Row,2006,Amazon
2P aka 2 Pistols ft. Jovi Rockwell,I Love Myself,Ñ,118,Top 40,BMU,2011,Amazon
2P aka 2 Pistols ft. Jovi Rockwell,I Love Myself,Clean Edit,118,Top 40,BMU,2011,Amazon
30 Seconds To Mars,From Yesterday,Ñ,135,Top 40,Virgin,2006,Amazon
311,Love Song,Ñ,70,Top 40,Maverick,2004,Amazon
3 Doors Down,Here Without You,Ñ,76,Top 40,Republic Universal,2004,Amazon
3 Doors Down,Let Me Go,Ñ,92,Top 40,Universal Republic,2005,Amazon
3OH!3,Back To Life,Ñ,77,Top 40,Photo Finish/Atlantic,2013,Amazon
3OH!3,Double Vision,Ñ,120,Top 40,Photo Finish/Roadrunner,2010,Amazon
3OH!3,MAD AT YOU,Explicit,86,Top 40,Fueled By Ramen,2016,Amazon
3OH!3,Touchin' On My,Ñ,84,Top 40,Photo Finish,2011,Amazon
3OH!3,You're Gonna Love This,Ñ,130,Top 40,Photo Finish/Roadrunner,2012,Amazon
3OH!3 ft. Katy Perry,Starstrukk,Ñ,138,Top 40,Photo Finish,2009,Amazon
3OH!3 ft. Ke$ha,My First Kiss,Ñ,138,Top 40,Photo Finish/Roadrunner,2010,Amazon
3OH!3 ft. Lil Jon,Hey,Ñ,132,Top 40,Photo Finish/Roadrunner,2010,Amazon
50 Cent & Olivia,Best Friend,Hi Tek Remix,91,Top 40,G-Unit Interscope,2006,Amazon
5 Seconds Of Summer,Amnesia,Ñ,101,Top 40,Capitol,2014,Amazon
5 Seconds Of Summer,Don't Stop,Ñ,150,Top 40,Capitol,2014,Amazon
5 Seconds Of Summer,Don't Stop,Snapcast Edit*,150,Top 40,Capitol,2014,Amazon
5 Seconds Of Summer,Girls Talk Boys,Promo Only Quick Edit*,120,Top 40,RCA,2016,Amazon
5 Seconds Of Summer,Girls Talk Boys,Promo Only Intro Edit*,120,Top 40,RCA,2016,Amazon
5 Seconds Of Summer,Girls Talk Boys,from the Ghostbusters Original Motion Picture Soundtrack,120,Top 40,RCA,2016,Amazon
5 Seconds Of Summer,Good Girls,Ñ,70,Top 40,Capitol,2015,Amazon
5 Seconds Of Summer,Hey Everybody!,Quick Edit*,126,Top 40,Capitol,2015,Amazon
5 Seconds Of Summer,Hey Everybody!,Ñ,126,Top 40,Capitol,2015,Amazon
5 Seconds Of Summer,Jet Black Heart,Quick Edit*,77,Top 40,Capitol,2016,Amazon
5 Seconds Of Summer,Jet Black Heart,Ñ,77,Top 40,Capitol,2016,Amazon
5 Seconds Of Summer,She Looks So Perfect,Ñ,80,Top 40,Capitol,2014,Amazon
5 Seconds Of Summer,She Looks So Perfect,Quick Edit*,80,Top 40,Capitol,2014,Amazon
5 Seconds Of Summer,She's Kinda Hot,Quick Edit*,118,Top 40,Capitol,2016,Amazon
5 Seconds Of Summer,She's Kinda Hot,Radio Edit,118,Top 40,Capitol,2015,Amazon
5 Seconds Of Summer,She's Kinda Hot,Lyric Video,118,Top 40,Capitol,2015,Amazon
5 Seconds Of Summer,She's Kinda Hot,Ñ,118,Top 40,Capitol,2016,Amazon
7EAST,I Don't Believe It,Ñ,116,Top 40,ELEET,2014,Amazon
98 Degrees,My Everything,Ñ,63,Top 40,Universal,2005,Amazon
98 Degrees,The Way You Want Me To,Ñ,128,Top 40,Universal,2007,Amazon
Aaron Carter,Fool's Gold,Ñ,65,Top 40,Rakkaus,2016,Amazon
Aaron Fresh,Spending All My Time,Main,84,Top 40,Ncredible/Def Jam/Island Def Jam,2010,Amazon
Aaron Hendra Project,Alive,Ñ,79,Top 40,Ardline,2012,Amazon
ABBA,Dancing Queen,Ñ,100,Top 40,Polygram,2004,"Amazon, iTunes"
ABBA,"Knowing Me, Knowing You",Ñ,106,Top 40,Polygram,2004,Amazon
ABBA,Waterloo,Ñ,148,Top 40,Polygram,2004,Amazon
Above & Beyond,Alone Tonight,Ronski Speed Mix,138,Top 40,Anjunabeats Ultra,2006,Amazon
Acafool ft. A.Rose,Feelin Good,Quick Edit,128,Top 40,Dream Chasers,2013,Amazon
Acafool ft. A.Rose,Feelin Good,Ñ,128,Top 40,Dream Chasers,2013,Amazon
Act As If,Oh My My,Ñ,108,Top 40,Act As If,2013,Amazon
Adam 8*1*2,Mystery Girl,Ñ,100,Top 40,Adam 8*1*2,2009,Amazon
Adam Hanna,17,Ñ,63,Top 40,Adam Hanna,2014,Amazon
Adam Lambert,Another Lonely Night,Quick Edit*,120,Top 40,Warner Bros,2016,Amazon
Adam Lambert,Another Lonely Night,EXPLICIT,122,Top 40,Warner Bros,2015,Amazon
Adam Lambert,Another Lonely Night,Ñ,120,Top 40,Warner Bros,2016,Amazon
Adam Lambert,Ghost Town,Quick Edit*,120,Top 40,Warner Bros,2015,Amazon
Adam Lambert,Ghost Town,Ñ,120,Top 40,Warner Bros,2015,Amazon
Adam Lambert,If I Had You,Ñ,131,Top 40,19/RCA,2010,Amazon
Adam Lambert,Never Close Our Eyes,Quick Edit*,135,Top 40,19/RCA,2012,Amazon
Addison Scott,I Came Alive,Ñ,116,Top 40,Kether,2016,Amazon
Adele,Chasing Pavements,Ñ,78,Top 40,Columbia,2008,Amazon
Adele,Hello,Ñ,79,Top 40,XL/Columbia,2015,Amazon
Adele,Hometown Glory,Ñ,62,Top 40,XL/Columbia,2009,Amazon
Adele,Rolling In The Deep,Ñ,105,Top 40,Columbia,2011,Amazon
Adele,Send My Love (To Your New Lover),Ñ,82,Top 40,XL/Columbia,2016,Amazon
Adele,Send My Love (To Your New Lover),Quick Edit*,82,Top 40,XL/Columbia,2016,Amazon
Adele,Skyfall,Soundtrack Version - Lyric Video,75,Top 40,XL/Columbia,2013,Amazon
Adele,When We Were Young,Live At The Church Studios,72,Top 40,XL/Columbia,2016,Amazon
Aer,The Rain,EXPLICIT,90,Top 40,Aer/BMG,2015,Amazon
Aerosmith,Just Push Play,Ñ,100,Top 40,Columbia,2008,Amazon
Afrocentrixxx,My Life Would Suck Without You,Ñ,166,Top 40,Next Plateau,2009,Amazon
Afsheen & MacKenzie Thomas,Blast Off,Ñ,70,Top 40,Next Plateau,2012,Amazon
Afsheen & MacKenzie Thomas,Blast Off,Quick Edit,70,Top 40,Next Plateau,2012,Amazon
After Romeo,Free Fall,Ñ,128,Top 40,After Romeo,2013,Amazon
After Romeo,Where The People Go,Ñ,110,Top 40,4 Sound,2015,Amazon
Aggro Santos ft. Andreea Banica,Red Lips,Ñ,95,Top 40,FOD,2015,Amazon
A Girl I Know,The Sun,Ñ,114,Top 40,Two Birds/Kobalt,2016,Amazon
A Great Big World,I Really Want It,In The Studio: AGBW,133,Top 40,Black Magnetic/Epic,2014,Amazon
A Great Big World,This Is The New Year,Ñ,154,Top 40,Black Magnetic/In2une,2013,Amazon
A Great Big World,Won't Stop Running,Ñ,73,Top 40,Epic,2016,Amazon
A Great Big World ft. Futuristic,Hold Each Other,Lyric Video,80,Top 40,Epic,2015,Amazon
A Great Big World ft. Futuristic,Hold Each Other,Lyric Video Quick Edit*,80,Top 40,Epic,2015,Amazon
A Great Big World ft. Futuristic,Hold Each Other,Lyric Video Intro Edit*,80,Top 40,Epic,2015,Amazon
Ahmad Belvin,Super Sorry,Ñ,130,Top 40,J,2010,Amazon
Ahmir,War,Ñ,112,Top 40,Robbins,2012,Amazon
Airy Jeanine,Do You,Ñ,65,Top 40,Kmina,2016,Amazon
Airy Jeanine,Mama's Girl,My Digital DB Radio Mix,128,Top 40,Kmina,2015,Amazon
AJR,I'm Not Famous,Promo Only Quick Edit*,95,Top 40,AJR,2016,Amazon
AJR,I'm Not Famous,Promo Only Intro Edit*,95,Top 40,AJR,2016,Amazon
AJR,I'm Not Famous,Ñ,95,Top 40,AJR,2016,Amazon
AJR,I'm Ready,Radio Edit,78,Top 40,AJR,2013,Amazon
AJR,I'm Ready,Ñ,78,Top 40,AJR,2013,Amazon
AJR,Infinity,Ñ,105,Top 40,Warner Bros,2015,Amazon
AJ Wray,Simple Little Christmas,Ñ,106,Top 40,AJ Wray,2015,Amazon
Akon,Bonanza (Belly Dancer),Ñ,105,Top 40,Universal,2005,Amazon
Akon,Lonely,Ñ,88,Top 40,Cash Money/Universal Motown,2005,Amazon
Akon,So Blue,Radio Edit,96,Top 40,Universal Republic,2013,Amazon
Akon,That Na Na,Ñ,128,Top 40,Konvict/Universal Republic,2013,Amazon
Akon ft. Colby O'Donis & Kardinal Offishall,Beautiful,Quick Edit*,130,Top 40,Konvict/SRC/Universal Motown,2013,Amazon
Akon ft. Colby O'Donis & Kardinal Offishall,Beautiful,Ñ,130,Top 40,Konvict/SRC/Universal Motown,2013,Amazon
Akon ft. Don Omar,Sexy Ladies,Ñ,130,Top 40,SRC/Universal Republic,2012,Amazon
Akon ft. Don Omar,Sexy Ladies,Quick Edit,130,Top 40,SRC/Universal Republic,2012,Amazon
Akon ft. French Montana,Hurt Somebody,Clean Edit*,80,Top 40,SRC/Universal Republic,2012,Amazon
Akon & Snoop Dogg,I Wanna Love You,Ñ,100,Top 40,Universal Motown,2007,Amazon
Alacranes Musical,A Cambio De Que?,Ñ,76,Top 40,Univision,2004,Amazon
Alana Lee,Dream Out Loud,Ñ,85,Top 40,Alana Lee Productions,2013,Amazon
Alana Lee,Dream Out Loud,Single Edit,85,Top 40,Alana Lee,2013,Amazon
Alanis Morissette,Crazy,James Michael Mix,105,Top 40,Maverick Warner Bros.,2005,Amazon
Alanis Morissette,Eight Easy Steps,Ñ,138,Top 40,Maverick,2004,Amazon
Alanis Morissette,Everything,Ñ,73,Top 40,Maverick,2004,Amazon
Alanis Morissette,Head Over Feet,Live At Montreux 2012,80,Top 40,Eagle Rock,2013,Amazon
Alanis Morissette,Not As We,Ñ,55,Top 40,Maverick,2008,Amazon
Alanis Morissette,Precious Illusions,Ñ,96,Top 40,Maverick,2004,Amazon
Alanis Morissette,Underneath,Ñ,107,Top 40,Maverick/Warner Bros,2008,Amazon
Alanis Morissette,You Oughta Know,Live At Montreux 2012,97,Top 40,Eagle Rock,2013,Amazon
Alan Jackson & Jimmy Buffett,It's 5 O'Clock Somewhere,Ñ,125,Top 40,Arista,2007,Amazon
Alessia Cara,I'm Yours,Ñ,103,Top 40,Ñ,Ñ,"Amazon, iTunes"
Alessia Cara,Outlaws,Ñ,114,Top 40,Ñ,2016,"Amazon, iTunes"
Alessia Cara,Scars To Your Beautiful,Promo Only Intro Edit*,97,Top 40,Def Jam,2016,Amazon
Alessia Cara,Scars To Your Beautiful,Original Version,97,Top 40,Def Jam,2016,Amazon
Alessia Cara,Scars To Your Beautiful,Promo Only Quick Edit*,97,Top 40,Def Jam,2016,Amazon
Alessia Cara,Scars To Your Beautiful,Ñ,97,Top 40,Def Jam,2016,Amazon
Alessia Cara,Seventeen,Ñ,105,Top 40,Ñ,2016,Amazon
Alessia Cara,Wild Things,Quick Edit*,108,Top 40,Def Jam,2016,Amazon
Alex Aiono,Doesn't Get Better,Ñ,124,Top 40,thehitlife,2013,Amazon
Alexander Cardinale,Made For You,Lyric Video,108,Top 40,Hashtag,2014,Amazon
Alexander Cardinale,Made For You,Ñ,109,Top 40,Hashtag,2014,Amazon
Alexandra Stan,Lemonade,Ñ,97,Top 40,Ultra,2012,Amazon
Alexandra Stan ft. Carlprit,"1,000,000",Ñ,91,Top 40,Ultra,2012,Amazon
Alex Angelo,Move Like This,Ñ,103,Top 40,IGAG,2015,Amazon
Alex B,Still In Love,Ñ,76,Top 40,Still Word,2014,Amazon
