Market Year,Domestic Consumption,Unit of Measure,Growth Rate
1966,19368,(1000 MT),NA
1967,19870,(1000 MT),2.59%
1968,20290,(1000 MT),2.11%
1969,21200,(1000 MT),4.48%
1970,22040,(1000 MT),3.96%
1971,22500,(1000 MT),2.09%
1972,22700,(1000 MT),0.89%
1973,23100,(1000 MT),1.76%
1974,23700,(1000 MT),2.60%
1975,24000,(1000 MT),1.27%
1976,24300,(1000 MT),1.25%
1977,24400,(1000 MT),0.41%
1978,25000,(1000 MT),2.46%
1979,28000,(1000 MT),12.00%
1980,31200,(1000 MT),11.43%
1981,32500,(1000 MT),4.17%
1982,34200,(1000 MT),5.23%
1983,36300,(1000 MT),6.14%
1984,38700,(1000 MT),6.61%
1985,42300,(1000 MT),9.30%
1986,44000,(1000 MT),4.02%
1987,46100,(1000 MT),4.77%
1988,48700,(1000 MT),5.64%
1989,51500,(1000 MT),5.75%
1990,53500,(1000 MT),3.88%
1991,56400,(1000 MT),5.42%
1992,58650,(1000 MT),3.99%
1993,61000,(1000 MT),4.01%
1994,63000,(1000 MT),3.28%
1995,66000,(1000 MT),4.76%
1996,69000,(1000 MT),4.55%
1997,72000,(1000 MT),4.35%
1998,74500,(1000 MT),3.47%
1999,77000,(1000 MT),3.36%
2000,79250,(1000 MT),2.92%
2001,81000,(1000 MT),2.21%
2002,86200,(1000 MT),6.42%
2003,88100,(1000 MT),2.20%
2004,92500,(1000 MT),4.99%
2005,97100,(1000 MT),4.97%
2006,100900,(1000 MT),3.91%
2007,105000,(1000 MT),4.06%
2008,109000,(1000 MT),3.81%
2009,112000,(1000 MT),2.75%
2010,116995,(1000 MT),4.46%
2011,123000,(1000 MT),5.13%
2012,129000,(1000 MT),4.88%
2013,134500,(1000 MT),4.26%
2014,140500,(1000 MT),4.46%
2015,147000,(1000 MT),4.63%
2016,154000,(1000 MT),4.76%
